,from_user,to_user,amount,request_date
67,rose.eaton,katrina.ingram,79.23,2018-06-02
68,paula7980,mackenzie,56.0,2018-06-02
69,austin,sfinley,16.17,2018-06-04
70,smoyer,lawson,98.39,2018-06-05
71,lee,king,99.81,2018-06-07
72,shelly,shari,46.95,2018-06-08
73,margaret265,nancy,84.15,2018-06-10
74,krystal,mark,76.28,2018-06-13
75,nicholas.travis,corey,73.25,2018-06-15
76,scott3928,tamara,20.96,2018-06-18
77,msolis,lowe,92.45,2018-06-19
78,adrian.blair,rodriguez5768,87.07,2018-06-19
79,smith8419,lisa8780,88.68,2018-06-19
80,wright3590,rsnow,5.46,2018-06-21
81,angela7209,kpratt,99.05,2018-06-21
82,jones,jones5796,95.88,2018-06-21
83,andrew6216,daniel1611,27.24,2018-06-23
84,kimberly,wbrown,9.02,2018-06-24
85,kirk,jason,36.53,2018-06-24
86,roman7509,hayes2585,29.78,2018-06-24
87,mark1376,joshua.henry,68.91,2018-06-24
88,sward,rose.eaton,84.78,2018-06-25
89,klein,nichols,24.86,2018-06-25
90,manning8686,tiffany.bowen,7.98,2018-06-25
91,phillips5654,msolis,71.53,2018-06-26
92,payne,mays,16.66,2018-06-26
93,nancy,erin4486,85.73,2018-06-26
94,dedwards,smith8419,14.26,2018-06-26
95,jones,jones5796,95.88,2018-06-27
96,holden4580,gerald.bryant,79.28,2018-06-27
97,thompson2327,sthompson,81.99,2018-06-27
98,robinson,kristi7553,10.35,2018-06-27
99,adrian,lgregory,93.87,2018-06-27
100,elang,staylor,10.54,2018-06-27
101,kimberly,wbrown,9.02,2018-06-28
102,brown,davis,54.89,2018-06-28
103,rodriguez9475,jordan5739,41.47,2018-06-28
104,bradley7808,tanya.carlson,22.5,2018-06-30
105,decker1985,wking,49.13,2018-07-01
106,lucero5925,stanley7729,69.06,2018-07-02
107,mays,cynthia5799,92.2,2018-07-02
108,matthew7940,sherry6113,58.72,2018-07-04
109,nicholas.travis,corey,73.25,2018-07-04
110,payne,erin,33.42,2018-07-04
111,jserrano,lawrence3513,25.94,2018-07-05
112,clayton6074,krystal,74.99,2018-07-06
113,scott3928,butler,79.28,2018-07-08
114,lspencer,sarah,44.89,2018-07-09
115,rodriguez9475,miller8552,25.89,2018-07-09
116,edwards8658,johnston2281,47.29,2018-07-10
117,dedwards,eugene4448,36.46,2018-07-12
118,anthony1788,bishop,64.84,2018-07-12
119,wbrown,mark20,79.89,2018-07-13
120,daniel1611,thompson9387,13.0,2018-07-13
121,rodriguez9475,miller8552,25.89,2018-07-13
122,jaime6887,reid,14.86,2018-07-14
123,adrian.blair,crane203,45.93,2018-07-14
124,rodriguez585,burton6737,50.51,2018-07-14
125,paul9642,courtney9644,49.3,2018-07-14
126,twebster,elang,2.64,2018-07-14
127,edwards8658,johnston2281,47.29,2018-07-16
128,jennifer.wong,brandon.gilbert,11.75,2018-07-16
129,tmaxwell,mburke,10.16,2018-07-16
130,mjohnson,jose.moreno,45.47,2018-07-17
131,melissa.mendoza,edwards,0.54,2018-07-18
132,shari,parker4621,46.76,2018-07-18
133,tstewart,parker4621,96.76,2018-07-18
134,lee3744,eugene4448,8.5,2018-07-19
135,erin,wilson,98.1,2018-07-20
136,harmon,tstewart,73.68,2018-07-21
137,gstevens,brooke2027,92.25,2018-07-21
138,cjones,austin486,9.52,2018-07-21
139,rebecca848,mpaul,1.34,2018-07-21
140,danderson,heather,96.83,2018-07-22
141,coleman,dennis4593,83.82,2018-07-22
142,gerald.bryant,graham,43.07,2018-07-22
143,donna1922,danderson,79.22,2018-07-23
144,kevin,william,43.85,2018-07-24
145,lisa7840,rose.eaton,79.02,2018-07-24
146,jlong,laura,19.23,2018-07-24
147,mpaul,tyler.zavala,14.38,2018-07-25
148,rodriguez585,angela7209,60.14,2018-07-25
149,henry,singh2309,12.13,2018-07-26
150,guzman4000,lee,11.21,2018-07-26
151,jlong,danderson,94.96,2018-07-26
152,sstanton,kirk,37.59,2018-07-26
153,johnson3004,ebryant,43.92,2018-07-27
154,sherry6113,jones,25.02,2018-07-28
155,adam.saunders,megan.terry,1.72,2018-07-29
156,jennifer.hebert,william6714,27.46,2018-07-29
157,donna1922,danderson,79.22,2018-07-31
158,taylor2783,laura,4.53,2018-07-31
159,eric1415,reid,4.38,2018-08-03
160,jcoleman,fuentes,40.48,2018-08-03
161,manning8686,jacob,48.03,2018-08-04
162,isabella,rholmes,18.8,2018-08-04
163,zachary.neal,taylor1468,55.02,2018-08-05
164,melissa.mendoza,sexton,74.8,2018-08-06
165,lawrence1685,joshua9690,99.96,2018-08-07
166,twebster,grace7647,64.9,2018-08-07
167,gerald.bryant,elang,61.77,2018-08-08
168,lawrence1685,joshua9690,99.96,2018-08-08
169,sfinley,ekidd,9.72,2018-08-09
170,christine2983,jlong,31.72,2018-08-10
171,mpaul,clayton6074,14.41,2018-08-11
172,michael.olson,hunt3408,23.22,2018-08-11
173,paige.lewis,linda,50.25,2018-08-12
174,joseph.lopez,jaime6887,8.6,2018-08-12
175,brett643,keith,86.58,2018-08-12
176,king,lauren,93.48,2018-08-12
177,edward1527,rebecca848,37.06,2018-08-13
178,johnson3004,rebecca848,97.49,2018-08-13
179,wilkins,lisa8780,68.51,2018-08-13
180,davis9225,rebecca848,47.55,2018-08-13
181,peters1942,edwards,89.63,2018-08-14
182,jennifer.wong,madison,49.36,2018-08-14
183,charles559,brandon,94.25,2018-08-15
184,jackson4431,young,60.57,2018-08-15
185,smith,patricia2613,47.48,2018-08-16
186,stein,tara.clark,46.18,2018-08-16
187,collin,madison,68.25,2018-08-18
188,jlong,david5498,6.81,2018-08-18
189,daniel.williams,diane4652,81.92,2018-08-19
190,william,kent,37.22,2018-08-20
191,nichols,kimberly,1.27,2018-08-20
192,nicholas5556,peters1942,63.52,2018-08-20
193,robinson5269,fuentes,80.39,2018-08-20
194,lspencer,sarah,44.89,2018-08-21
195,diane4652,dean2365,6.82,2018-08-21
196,daniel,michael,55.84,2018-08-21
197,palmer,jason,93.0,2018-08-22
198,mshort,taylor7649,1.95,2018-08-22
199,cox192,steven,47.51,2018-08-22
200,bsmith,lawson,22.41,2018-08-23
201,michael7792,jennifer,90.56,2018-08-23
202,acook,brooke2027,74.08,2018-08-24
203,donald3362,bgreen,21.51,2018-08-24
204,martinez,reid,1.69,2018-08-25
205,caleb,donald1420,13.66,2018-08-25
206,erin4486,ehernandez,6.08,2018-08-26
207,miranda6426,barnes,58.39,2018-08-26
208,davis,colton,47.01,2018-08-26
209,michael.williams,megan.terry,28.17,2018-08-26
210,rogers,jose.moreno,50.42,2018-08-26
211,dean2365,matthew7940,70.98,2018-08-27
212,zachary.neal,lawrence1685,4.08,2018-08-27
213,thompson2327,ehernandez,18.63,2018-08-28
214,donald1420,joel8826,43.68,2018-08-28
215,michael7792,reid,54.05,2018-08-29
216,jcoleman,fuentes,40.48,2018-08-29
217,leah6255,decker1985,65.63,2018-08-31
218,clark8139,moore,14.54,2018-08-31
219,martin,cjones,97.88,2018-08-31
220,gregory9829,timothy.heath,51.54,2018-09-01
221,phillips5654,miguel.gamble,11.35,2018-09-01
222,joseph.lopez,denise3770,56.66,2018-09-03
223,peter,joseph.lopez,23.23,2018-09-03
224,diane4652,dean2365,6.82,2018-09-05
225,jessica3924,gregory.rios,75.42,2018-09-05
226,jcordova,nelson,37.35,2018-09-05
227,tina3658,samuel.conner,8.53,2018-09-05
228,holden4580,jason4651,75.55,2018-09-06
229,rebecca848,mpaul,1.34,2018-09-06
230,medina891,april9082,60.39,2018-09-06
231,christopher6861,torres,57.18,2018-09-07
232,donald3362,tammy.brown,81.14,2018-09-07
233,martin,sandra.vaughn,71.97,2018-09-07
234,peter,daniel1611,22.33,2018-09-08
235,fuentes,christina.banks,14.23,2018-09-09
236,martha.willis,paul9642,47.27,2018-09-09
237,martha.willis,sthompson,28.78,2018-09-09
238,jennifer.hebert,mcarroll,82.67,2018-09-09
239,jonathan5101,burton6737,97.39,2018-09-10
240,clark8139,moore,14.54,2018-09-10
241,michael7792,jennifer,90.56,2018-09-10
242,lisa7840,harmon,66.96,2018-09-10
243,miller4208,jennifer.hebert,97.98,2018-09-11
244,torres,theresa5909,7.04,2018-09-11
245,mbrown,collins,21.82,2018-09-11
246,anthony3761,johnson3004,76.17,2018-09-12
247,robert284,ortiz5962,34.37,2018-09-12
248,corey.ingram,jason,37.21,2018-09-12
249,austin486,dean,92.28,2018-09-12
250,smith6903,jose.moreno,3.23,2018-09-12
251,rholmes,helen5691,49.88,2018-09-12
252,johnson,colton,61.31,2018-09-12
253,mikayla.west,lewis8579,95.15,2018-09-12
254,bowman,joseph.lopez,57.99,2018-09-13
255,jacob,peter,53.09,2018-09-13
256,hall,lee3744,76.31,2018-09-13
257,joel8826,eharding,93.99,2018-09-13
258,nichols,eharding,86.93,2018-09-13
259,miranda6426,kirk,18.64,2018-09-14
260,phillips5654,miguel.gamble,11.35,2018-09-15
261,jonathan5101,conley,14.07,2018-09-15
262,mackenzie,tbender,32.34,2018-09-15
263,rebecca,melvin9380,75.35,2018-09-16
264,joshua9690,david2796,60.54,2018-09-16
265,aaron,gail2190,47.91,2018-09-16
266,gstevens,awilliams,52.05,2018-09-16
267,hdeleon,kathy,3.05,2018-09-16
268,lcruz,darlene.adams,82.25,2018-09-17
269,leah6255,jason4651,79.78,2018-09-17
270,parker,rebecca848,59.28,2018-09-17
271,staylor,hdeleon,44.57,2018-09-17
272,zachary.neal,ortiz5962,7.03,2018-09-18
273,alvarez,jones5796,36.45,2018-09-18
274,hdeleon,twhite,17.05,2018-09-18
275,hamilton,hdeleon,22.76,2018-09-18
276,jramos,miller,20.95,2018-09-19
277,sfinley,miller,47.55,2018-09-20
278,andrew.wells,darlene.adams,86.33,2018-09-20
279,alvarez,sexton,84.24,2018-09-20
280,jerry,moore7025,17.15,2018-09-20
281,danderson,jstewart,95.78,2018-09-20
282,collin,darlene.adams,15.59,2018-09-20
283,william2231,victor,77.44,2018-09-20
284,tina3658,kelly5683,69.05,2018-09-21
285,amanda,tiffany.bowen,1.96,2018-09-21
286,darlene.adams,nathaniel,66.56,2018-09-21
287,kelly5683,calvin.perez,73.52,2018-09-21
288,mcarroll,klein,43.25,2018-09-22
289,heather,smercer,98.13,2018-09-22
290,heather,smercer,98.13,2018-09-22
291,spadilla,alvarez,23.96,2018-09-24
292,tyler.zavala,kim1649,82.72,2018-09-24
293,john,austin,98.41,2018-09-24
294,mcclain9882,diana1995,30.59,2018-09-24
295,jholloway,leah6255,63.62,2018-09-24
296,jdiaz,kelly5683,74.87,2018-09-24
297,brian7426,ekidd,85.96,2018-09-24
298,smercer,gregory.rios,92.47,2018-09-24
299,ehernandez,martha.willis,28.03,2018-09-24
300,mburke,heather.wade,29.14,2018-09-25
301,heather.wade,higgins,83.61,2018-09-25
302,clark8139,erin4486,27.82,2018-09-25
303,crane203,arosario,31.1,2018-09-25
304,kelly5683,elaine,10.7,2018-09-25
305,ross9165,tina3658,54.04,2018-09-25
306,heather.wade,maria955,41.67,2018-09-25
307,patricia,martha6969,87.33,2018-09-25
308,aaron,patricia,19.28,2018-09-25
309,linda,robert8280,62.44,2018-09-25
310,watts,heather.wade,87.89,2018-09-25
311,timothy3285,patricia,36.09,2018-09-25
312,patricia,martha6969,87.33,2018-09-25
