,sender,receiver,amount,sent_date
196,smith8419,dedwards,14.26,2018-07-03
197,rodriguez5768,barnes,96.62,2018-07-04
198,acook,adam.saunders,9.31,2018-07-04
199,valerie,roman7509,40.18,2018-07-04
200,mjohnson,andrew6216,48.36,2018-07-04
201,charles,gregory.rios,8.35,2018-07-04
202,dustin.fowler,smith6248,44.73,2018-07-04
203,hart24,bradley7808,90.45,2018-07-05
204,edward1527,cjimenez,3.67,2018-07-05
205,lawrence3513,william.lee,90.78,2018-07-05
206,bpowers,margaret,10.34,2018-07-05
207,peters1942,twhite,16.53,2018-07-06
208,reid,barnes,48.95,2018-07-06
209,steven3847,fuller3354,9.73,2018-07-06
210,jgonzalez,mikayla.west,97.38,2018-07-07
211,dennis4593,kathy,74.01,2018-07-07
212,maria955,rose.eaton,57.32,2018-07-08
213,cassandra,jackson4431,33.72,2018-07-08
214,karen.snow,sstanton,52.52,2018-07-08
215,megan.terry,bradley7808,80.1,2018-07-08
216,mark,krystal,76.28,2018-07-08
217,tjohnson,debra,71.13,2018-07-08
218,grant1643,elaine,20.91,2018-07-08
219,sandra2071,carl.fox,68.16,2018-07-09
220,jordan5739,rodriguez9475,41.47,2018-07-09
221,dean,lcruz,53.44,2018-07-09
222,davis9792,caleb,3.22,2018-07-09
223,lspencer,davis9225,23.96,2018-07-09
224,spence,guzman4000,44.06,2018-07-10
225,hart24,wking,14.5,2018-07-10
226,jason,kirk,36.53,2018-07-10
227,reid,jordan5739,4.92,2018-07-10
228,diana,adrian,96.35,2018-07-10
229,mark8466,tstewart,40.29,2018-07-10
230,eugene4448,walsh,78.27,2018-07-11
231,corey,nicholas.travis,73.25,2018-07-11
232,sherry6113,matthew7940,58.72,2018-07-11
233,flores,michael.olson,96.64,2018-07-12
234,jlong,dustin.fowler,34.62,2018-07-12
235,jcordova,clayton6074,18.39,2018-07-12
236,erin,payne,33.42,2018-07-12
237,lowe,guzman4000,60.53,2018-07-12
238,staylor,ruiz2577,62.04,2018-07-12
239,rodriguez5768,adrian.blair,87.07,2018-07-12
240,kenneth.chambers,rebecca848,25.46,2018-07-12
241,harris7556,alexander7808,7.17,2018-07-12
242,shari,shelly,46.95,2018-07-12
243,cjimenez,tanya.carlson,43.37,2018-07-12
244,torres,rebecca848,45.65,2018-07-12
245,mark5306,jackson4431,91.07,2018-07-13
246,andrew6216,heather,81.06,2018-07-13
247,colton,dustin.fowler,10.01,2018-07-13
248,elaine,higgins,21.05,2018-07-13
249,thompson9387,kathy,65.55,2018-07-13
250,campbell1062,smith6248,51.43,2018-07-13
251,sherry6113,hoover4302,10.45,2018-07-14
252,luis.brooks,wright3590,98.86,2018-07-14
253,bishop,anthony1788,64.84,2018-07-14
254,linda,smith,23.4,2018-07-15
255,tamara,mikayla.west,44.48,2018-07-15
256,paula7980,chad.chen,78.61,2018-07-15
257,mikayla.west,thompson9387,87.47,2018-07-15
258,mjohnson,edwards8658,0.06,2018-07-16
259,smith9087,patricia2613,93.85,2018-07-16
260,courtney9644,paul9642,49.3,2018-07-16
261,jesus9614,cassandra,54.7,2018-07-16
262,mark5306,jramsey,42.96,2018-07-16
263,johnston2281,edwards8658,47.29,2018-07-16
264,sarah,joseph2431,40.19,2018-07-16
265,taylor1468,taylor1468,99.38,2018-07-17
266,daniel.williams,brian.barnes,23.08,2018-07-17
267,torres,stevens8089,59.24,2018-07-17
268,walsh,paul9642,69.37,2018-07-17
269,dawn.juarez,gerald.bryant,51.91,2018-07-17
270,debra,clark8139,79.91,2018-07-17
271,bernard,tiffany.bowen,13.53,2018-07-17
272,reid,jaime6887,14.86,2018-07-18
273,parker4621,lee3744,55.22,2018-07-18
274,corey,bowers9648,94.03,2018-07-18
275,butler,flores,13.13,2018-07-18
276,spadilla,emily.lewis,60.35,2018-07-18
277,lawrence3513,sthompson,56.98,2018-07-18
278,donald3362,dawn,63.35,2018-07-18
279,king,lee,99.81,2018-07-19
280,roman7509,dean2365,77.01,2018-07-19
281,greg5920,watts,96.89,2018-07-19
282,smith8419,jennifer,75.3,2018-07-20
283,daniel1611,jose.moreno,98.86,2018-07-21
284,peters1942,jackson4431,19.87,2018-07-21
285,watts,stein,81.62,2018-07-21
286,kimberly,campbell1062,45.62,2018-07-21
287,paul9642,harmon,14.83,2018-07-22
288,anthony1788,denise3770,88.8,2018-07-22
289,moore,chad.chen,13.56,2018-07-22
290,bowers9648,mikayla.west,85.76,2018-07-22
291,jones5796,jones,95.88,2018-07-22
292,edwards,alexander7808,4.17,2018-07-23
293,clayton6074,heather,8.81,2018-07-23
294,wbrown,anthony576,91.32,2018-07-23
295,twebster,cox192,88.58,2018-07-23
296,sthompson,smith,36.6,2018-07-23
297,wilson,erin,98.1,2018-07-23
298,erin,rodriguez,63.96,2018-07-23
299,heather,danderson,96.83,2018-07-24
300,melissa.mendoza,melvin9380,94.4,2018-07-24
301,jensen7832,bradley,94.47,2018-07-24
302,jones,tjohnson,38.59,2018-07-24
303,epeters,stephanie4610,56.64,2018-07-24
304,rose.eaton,lisa7840,79.02,2018-07-24
305,staylor,elang,10.54,2018-07-24
306,higgins,corey,59.26,2018-07-25
307,guzman4000,gregory7148,12.76,2018-07-25
308,taylor1468,bpowers,87.74,2018-07-25
309,rose.eaton,gregory7148,95.99,2018-07-25
310,jason7792,burton6737,93.89,2018-07-25
311,paula7980,jramos,32.78,2018-07-25
312,robinson5269,peters1942,73.26,2018-07-25
313,rodriguez,joshua9690,69.34,2018-07-25
314,parker4621,tstewart,96.76,2018-07-25
315,rogers,scott3928,8.73,2018-07-26
316,helen5691,parker4621,30.01,2018-07-26
317,luis.brooks,parker4621,34.5,2018-07-26
318,jordan5739,david.barnett,52.93,2018-07-27
319,colton,michael.olson,59.79,2018-07-27
320,fisher,jennifer.hebert,46.27,2018-07-28
321,erin,jesus9614,44.76,2018-07-28
322,alexander7808,thompson2327,22.87,2018-07-28
323,harris7556,cross9059,91.78,2018-07-28
324,singh2309,johnston2281,77.79,2018-07-28
325,shelly,sward,76.51,2018-07-28
326,rodriguez9475,adrian.blair,30.76,2018-07-29
327,valerie,paige.lewis,39.52,2018-07-29
328,lee,guzman4000,11.21,2018-07-29
329,nicholas5556,erin4486,70.43,2018-07-29
330,lcruz,austin,10.83,2018-07-29
331,edward1527,jordan5739,40.54,2018-07-29
332,david.barnett,evelyn,29.95,2018-07-29
333,roberts,figueroa7283,37.4,2018-07-29
334,andrew.wells,samuel.conner,80.07,2018-07-30
335,isabella,nichols,72.86,2018-07-30
336,lawson,johnson3004,49.46,2018-07-30
337,mjohnson,anthony1788,8.08,2018-07-30
338,king,melanie,53.42,2018-07-31
339,katrina.ingram,brian.barnes,16.84,2018-07-31
340,angela7209,rodriguez585,60.14,2018-07-31
341,erin,tiffany.bowen,79.32,2018-07-31
342,mcguire,marcus.berry,23.02,2018-07-31
343,miller8552,rodriguez9475,25.89,2018-07-31
344,kirk,sstanton,37.59,2018-08-01
345,mburke,scott3928,3.03,2018-08-01
346,crane203,adrian.blair,45.93,2018-08-01
347,elang,jdiaz,84.35,2018-08-01
348,brenda,tjohnson,69.14,2018-08-01
349,holden4580,brandon.gilbert,43.92,2018-08-02
350,corey,cynthia5799,43.92,2018-08-02
351,harmon,william6714,74.56,2018-08-02
352,mark,figueroa7283,45.93,2018-08-02
353,austin486,cjones,9.52,2018-08-02
354,gerald.bryant,greg5920,86.65,2018-08-03
355,linda,melanie,27.73,2018-08-03
356,thompson2327,jlong,60.15,2018-08-03
357,kimberly.decker,cox192,0.6,2018-08-03
358,matthew5486,jeremy1104,13.92,2018-08-03
359,rodriguez5768,hunt3408,0.04,2018-08-03
360,kristi7553,robinson,10.35,2018-08-04
361,stephanie4610,campbell4312,16.96,2018-08-04
362,freeman,tgeorge,41.79,2018-08-04
363,sabrina.haas,joshua.henry,15.47,2018-08-04
364,clark8139,mpaul,90.48,2018-08-04
365,kristina.miller,rachel,92.74,2018-08-04
366,jones,msolis,34.7,2018-08-04
367,tanya.carlson,bradley7808,22.5,2018-08-05
368,jcoleman,corey,84.21,2018-08-05
369,hamilton4258,jason7792,56.06,2018-08-05
370,krystal,clayton6074,74.99,2018-08-05
371,decker1985,smith6248,61.48,2018-08-05
372,ebryant,adrian.blair,66.47,2018-08-05
373,christine2983,fuller3354,94.65,2018-08-05
374,lisa,thompson2327,0.82,2018-08-06
375,melanie,davis,78.0,2018-08-06
376,moore,taylor1468,8.08,2018-08-06
377,sandra2565,hayes2585,9.16,2018-08-06
378,lawrence3513,tyler.zavala,16.65,2018-08-06
379,gregory.blackwell,parker4621,49.0,2018-08-06
380,moore7025,lawrence1685,35.15,2018-08-07
381,bowers9648,mark8466,91.52,2018-08-07
382,burton6737,rodriguez585,50.51,2018-08-07
383,hamilton4258,lawrence3513,7.83,2018-08-07
384,zachary.neal,alexander7808,33.79,2018-08-07
385,eugene4448,lee3744,8.5,2018-08-07
386,arosario,robert,67.69,2018-08-07
387,cjones,jcastaneda,78.4,2018-08-07
388,jones5796,dawn,9.78,2018-08-08
389,paige.lewis,sfinley,38.29,2018-08-08
390,jason7792,john.smith,2.14,2018-08-08
391,fisher,dennis,62.02,2018-08-08
392,sward,joshua3747,36.64,2018-08-08
393,joshua9690,lawrence1685,99.96,2018-08-09
394,rholmes,isabella,18.8,2018-08-09
395,singh2309,rachel,99.0,2018-08-09
396,amiller,fuentes,48.39,2018-08-09
397,jennifer,jreeves,10.55,2018-08-09
398,mark5306,charles,91.22,2018-08-09
399,rsnow,wright3590,5.46,2018-08-10
400,jlong,christine2983,31.72,2018-08-10
401,john6967,daniel.livingston,25.24,2018-08-10
402,christine.brown,angela7209,36.13,2018-08-10
403,jordan5739,adrian,27.28,2018-08-10
404,andrew.wells,austin486,88.47,2018-08-10
405,brooke2027,arosario,67.88,2018-08-10
406,campbell1062,jgonzalez,34.64,2018-08-10
407,sandra.vaughn,brian7426,88.43,2018-08-10
408,denise3770,eugene4448,87.89,2018-08-11
409,kristina.miller,jennifer,59.58,2018-08-11
410,lawrence3513,parsons,73.28,2018-08-11
411,keith2323,jcoleman,61.68,2018-08-11
412,charles,isabella,57.67,2018-08-11
413,vang,anthony1788,44.83,2018-08-11
414,rholmes,andrew.alvarez,42.45,2018-08-11
415,jlong,jennifer.hebert,42.24,2018-08-11
416,mikayla.west,miranda6426,65.7,2018-08-11
417,michael7792,joshua.henry,31.87,2018-08-12
418,sexton,melissa.mendoza,74.8,2018-08-12
419,cassandra,michael.olson,26.97,2018-08-12
420,jaime6887,joseph.lopez,8.6,2018-08-12
421,denise3770,watts,54.21,2018-08-12
422,rebecca848,johnson3004,97.49,2018-08-13
423,nicholas5556,rachel,96.94,2018-08-13
424,kara,tbender,21.38,2018-08-13
425,lisa8780,wilkins,68.51,2018-08-13
426,bishop,lspencer,0.87,2018-08-13
427,brandon.gilbert,bgreen,38.87,2018-08-14
428,cynthia5799,mbrown,74.2,2018-08-14
429,laura,taylor2783,4.53,2018-08-14
430,jerry,jennifer.wong,96.58,2018-08-14
431,krystal,paul9642,85.4,2018-08-14
432,anthony1788,lisa,97.44,2018-08-15
433,brandon.gilbert,jennifer.wong,11.75,2018-08-15
434,jacob,figueroa7283,28.53,2018-08-15
435,massey2102,bishop,18.27,2018-08-15
436,msolis,phillips5654,71.53,2018-08-15
437,hmiller,tamara,65.22,2018-08-15
438,danderson,jlong,94.96,2018-08-15
439,amiller,lauren,1.05,2018-08-16
440,keith,brett643,86.58,2018-08-16
441,brandon,charles559,94.25,2018-08-16
442,caleb,mark5306,95.36,2018-08-17
443,spence,mark1376,60.28,2018-08-17
444,parker4621,king,24.69,2018-08-17
445,taylor7649,nicholas5556,82.15,2018-08-18
446,rodriguez5768,kent,0.86,2018-08-18
447,cjones,gerald.bryant,18.8,2018-08-18
448,jbarker,daniel1611,74.0,2018-08-18
449,nichols,klein,24.86,2018-08-18
450,lawrence3513,lisa8780,11.21,2018-08-19
451,sandra2071,vang,4.16,2018-08-19
452,twhite,kpratt,89.57,2018-08-19
453,mark8466,april9082,60.77,2018-08-19
454,lisa7840,april9082,28.12,2018-08-19
455,mays,payne,16.66,2018-08-19
456,erin,david,33.66,2018-08-19
457,linda,paige.lewis,50.25,2018-08-20
458,sthompson,michael.williams,44.59,2018-08-20
459,diana1995,rose.eaton,16.04,2018-08-20
460,kpratt,johnston2281,81.8,2018-08-20
461,nichols,coleman,91.9,2018-08-20
462,fuentes,bgreen,90.92,2018-08-20
463,sarah,cassandra,63.81,2018-08-20
464,william2231,kristi7553,47.14,2018-08-20
465,amiller,porter,83.69,2018-08-20
466,tammy.brown,zachary.neal,73.72,2018-08-20
467,stephanie5596,bernard,58.36,2018-08-21
468,young,jlong,84.54,2018-08-21
469,sfinley,kent,6.08,2018-08-21
470,jacob,diane4652,64.13,2018-08-21
471,wilson,courtney9644,49.09,2018-08-21
472,higgins,bernard,58.61,2018-08-21
473,paul9642,guzman4000,80.7,2018-08-21
474,danielle,andersen,26.34,2018-08-21
475,tara.clark,stein,46.18,2018-08-21
476,mark20,timothy.heath,42.83,2018-08-21
477,paige.lewis,mikayla.west,84.12,2018-08-21
478,rogers,miranda6426,65.22,2018-08-22
479,nicholas.padilla,erin,32.34,2018-08-22
480,christine.brown,miranda6426,83.15,2018-08-22
481,coleman,gail2190,86.91,2018-08-22
482,william6714,jerry,38.79,2018-08-22
483,dean,bryant,87.26,2018-08-22
484,janet.williams,king3246,28.84,2018-08-22
485,king3246,lisa,46.75,2018-08-23
486,jacob,charles559,78.43,2018-08-23
487,tamara,andrew6347,27.93,2018-08-23
488,lawrence3513,jserrano,25.94,2018-08-23
489,jacob,bgreen,63.77,2018-08-23
490,stanley7729,david,10.54,2018-08-23
491,bernard,michael7792,47.31,2018-08-23
492,brandon.gilbert,jcordova,53.11,2018-08-24
493,hart24,stephanie4610,89.54,2018-08-24
494,ebryant,nelson,9.69,2018-08-24
495,ebryant,johnson3004,43.92,2018-08-24
496,wbrown,kimberly,9.02,2018-08-24
497,elizabeth,jennifer.hebert,83.06,2018-08-24
498,anthony576,dawn,65.62,2018-08-24
499,adam.saunders,king3246,57.25,2018-08-24
500,rebecca848,edward1527,37.06,2018-08-24
501,greg5920,diane4652,18.6,2018-08-24
502,robinson5269,joseph.lopez,24.7,2018-08-24
503,andrew6347,amiller,5.09,2018-08-25
504,gregory7148,sward,20.81,2018-08-25
505,singh2309,henry,12.13,2018-08-25
506,samuel.conner,shari,9.76,2018-08-25
507,dennis4593,rebecca848,41.9,2018-08-25
508,eharding,gregory.rios,70.83,2018-08-25
509,gregory.rios,hamilton,57.64,2018-08-25
510,robert284,laura,91.11,2018-08-25
511,danielle,mackenzie,64.56,2018-08-25
512,kent,taylor7649,8.85,2018-08-25
513,wilson,jaime6887,10.97,2018-08-25
514,denise3770,decker1985,83.5,2018-08-26
515,bishop,nancy,98.08,2018-08-26
516,michael7792,kim1649,64.17,2018-08-26
517,sfinley,austin,16.17,2018-08-26
518,donald1420,adam.saunders,91.84,2018-08-26
519,sherry6113,dennis,55.32,2018-08-26
520,johnston2281,brett643,69.15,2018-08-26
521,kelly7722,michael.williams,8.59,2018-08-26
522,heather,miguel.gamble,65.92,2018-08-27
523,mikayla.west,andersen,97.18,2018-08-27
524,davis9225,rsnow,10.22,2018-08-27
525,walters2042,coleman,86.08,2018-08-27
526,kelly7722,bsmith,86.67,2018-08-27
527,kpratt,angela7209,99.05,2018-08-27
528,shelly,jose.moreno,61.42,2018-08-27
529,margaret265,lmoore,99.74,2018-08-27
530,patricia2613,smith,47.48,2018-08-27
531,mark8466,gail2190,30.02,2018-08-27
532,david.barnett,wesley.hayes,30.53,2018-08-27
533,tammy.brown,sherry6113,96.86,2018-08-27
534,william2231,gail2190,7.5,2018-08-28
535,payne,greg5920,18.66,2018-08-28
536,lisa7840,melissa.mendoza,77.02,2018-08-28
537,daniel,lauren,38.16,2018-08-28
538,roberts,heather,49.83,2018-08-28
539,staylor,ekidd,96.97,2018-08-28
540,spadilla,sandra.vaughn,4.34,2018-08-29
541,margaret265,paige.lewis,74.74,2018-08-29
542,helen5691,bishop,42.83,2018-08-29
543,amiller,william4588,0.63,2018-08-29
544,matthew5486,john.smith,68.68,2018-08-29
545,sarah,lspencer,44.89,2018-08-29
546,reid,michael7792,54.05,2018-08-29
547,miranda6426,michelle4225,95.22,2018-08-29
548,bowers9648,denise3770,44.18,2018-08-29
549,martin,john.hardy,74.81,2018-08-30
550,hamilton,sstanton,18.93,2018-08-30
551,hayes2585,dean2365,57.13,2018-08-30
552,jacob,manning8686,48.03,2018-08-30
553,taylor1468,zachary.neal,55.02,2018-08-30
554,tbender,butler,57.02,2018-08-30
555,mark20,christopher5982,54.27,2018-08-30
556,bernard,lewis8579,38.97,2018-08-30
557,matthew7940,dean2365,70.98,2018-08-30
558,spence,bradley3953,22.99,2018-08-31
559,jordan5739,tjohnson,51.56,2018-08-31
560,ehernandez,erin4486,6.08,2018-08-31
561,aaron,stephanie5596,17.2,2018-08-31
562,nicholas.travis,jeremy1104,41.95,2018-08-31
563,mjohnson,steven3847,76.37,2018-08-31
564,brett643,parsons,5.38,2018-08-31
565,jose.moreno,donald1420,28.19,2018-08-31
566,robinson5269,edwards8658,55.1,2018-08-31
567,bsmith,bgreen,61.86,2018-08-31
568,michael7792,mburke,92.13,2018-08-31
569,jennifer.wong,theresa5909,55.95,2018-08-31
570,erin,burton6737,69.77,2018-08-31
571,bradley,aaron,98.52,2018-08-31
572,donald3362,tmaxwell,87.04,2018-08-31
573,kyle.gentry,lewis8579,71.37,2018-08-31
574,bpowers,miranda6426,1.91,2018-08-31
575,timothy.heath,gregory9829,51.54,2018-09-01
576,donald1420,caleb,13.66,2018-09-01
577,eharding,kent,12.95,2018-09-01
578,tina3658,kirk,47.2,2018-09-01
579,wesley.hayes,christopher,90.91,2018-09-01
580,lawson,owens,71.88,2018-09-02
581,madison,jennifer.wong,49.36,2018-09-02
582,peters1942,krystal,19.82,2018-09-02
583,william4588,joshua3747,99.11,2018-09-02
584,hunt3408,anthony3761,0.67,2018-09-02
585,nichols,dedwards,86.99,2018-09-02
586,dean2365,paul9642,15.52,2018-09-02
587,adam.saunders,marcus.berry,17.46,2018-09-02
588,danderson,donna1922,79.22,2018-09-02
589,mjohnson,arosario,67.89,2018-09-02
590,isabella,christina.banks,24.41,2018-09-02
591,nicholas.padilla,gregory9829,88.63,2018-09-02
592,lmoore,william4588,64.46,2018-09-02
593,bradley3953,cjones,74.49,2018-09-02
594,staylor,roman7509,57.68,2018-09-02
595,bpowers,melanie,29.61,2018-09-02
596,donald1420,steven,55.93,2018-09-03
